epoc_time,date_time,distance,velocity
1456261693261,2016-02-23T21:08:13.261Z,4.69152768432,0
1456261693498,2016-02-23T21:08:13.498Z,2.21559757999,0
1456261693970,2016-02-23T21:08:13.970Z,1.6399269622,0
1456261694263,2016-02-23T21:08:14.263Z,4.69152768432,0.24
1456261694514,2016-02-23T21:08:14.514Z,2.57854157129,0.24
1456261695002,2016-02-23T21:08:15.002Z,1.6399269622,0.23
1456261695261,2016-02-23T21:08:15.261Z,4.69152768432,0.13
1456261695518,2016-02-23T21:08:15.518Z,1.50967696403,0.24
1456261695968,2016-02-23T21:08:15.968Z,1.6399269622,0.25
1456261696265,2016-02-23T21:08:16.265Z,4.69152768432,0
1456261696524,2016-02-23T21:08:16.524Z,1.50967696403,0.24
1456261696991,2016-02-23T21:08:16.991Z,2.10934976781,0.22
1456261697263,2016-02-23T21:08:17.263Z,4.69152768432,0
1456261697526,2016-02-23T21:08:17.526Z,2.57854157129,0.24
1456261697997,2016-02-23T21:08:17.997Z,2.10934976781,0
1456261698268,2016-02-23T21:08:18.268Z,4.21549854873,0.24
1456261698520,2016-02-23T21:08:18.520Z,1.24061296838,0.24
1456261698974,2016-02-23T21:08:18.974Z,2.10934976781,0
1456261699264,2016-02-23T21:08:19.264Z,4.21549854873,0.24
1456261699489,2016-02-23T21:08:19.489Z,2.6848375825,0.25
1456261699975,2016-02-23T21:08:19.975Z,2.10934976781,0
1456261700263,2016-02-23T21:08:20.263Z,4.86011192365,0.24
1456261700508,2016-02-23T21:08:20.508Z,2.6848375825,0.24
1456261701000,2016-02-23T21:08:21.000Z,1.6399269622,0.23
1456261701261,2016-02-23T21:08:21.261Z,4.86011192365,0.24
1456261701529,2016-02-23T21:08:21.529Z,2.35767104161,0.24
1456261701996,2016-02-23T21:08:21.996Z,1.6399269622,0.24
1456261702262,2016-02-23T21:08:22.262Z,4.86011192365,0.21
1456261702493,2016-02-23T21:08:22.493Z,2.6848375825,0.25
1456261702961,2016-02-23T21:08:22.961Z,1.6399269622,0.02
1456261703265,2016-02-23T21:08:23.265Z,4.86011192365,0
1456261703502,2016-02-23T21:08:23.502Z,2.6848375825,0.24
1456261703994,2016-02-23T21:08:23.994Z,1.6399269622,0
1456261704267,2016-02-23T21:08:24.267Z,4.86011192365,0
1456261704529,2016-02-23T21:08:24.529Z,2.6848375825,0.23
1456261704974,2016-02-23T21:08:24.974Z,1.89185214637,0.24
1456261705265,2016-02-23T21:08:25.265Z,4.86011192365,0
1456261705514,2016-02-23T21:08:25.514Z,2.6848375825,0.06
1456261706001,2016-02-23T21:08:26.001Z,2.10934976781,0.23
1456261706266,2016-02-23T21:08:26.266Z,4.86011192365,0
1456261706528,2016-02-23T21:08:26.528Z,2.35767104161,0.24
1456261706994,2016-02-23T21:08:26.994Z,2.10934976781,0.24
1456261707267,2016-02-23T21:08:27.267Z,4.69152768432,0.24
1456261707530,2016-02-23T21:08:27.530Z,2.6848375825,0.24
1456261707979,2016-02-23T21:08:27.979Z,2.10934976781,0.08
1456261708269,2016-02-23T21:08:28.269Z,4.69152768432,0.24
1456261708516,2016-02-23T21:08:28.516Z,2.6848375825,0
1456261708955,2016-02-23T21:08:28.955Z,2.10934976781,0
1456261709270,2016-02-23T21:08:29.270Z,4.69152768432,0.02
1456261709530,2016-02-23T21:08:29.530Z,2.60741572037,0.24
1456261710001,2016-02-23T21:08:30.001Z,2.10934976781,0
1456261710271,2016-02-23T21:08:30.271Z,4.69152768432,0
1456261710524,2016-02-23T21:08:30.524Z,2.19513296682,0.24
1456261710976,2016-02-23T21:08:30.976Z,2.0148479696,0.25
1456261711242,2016-02-23T21:08:31.242Z,4.69152768432,0
1456261711509,2016-02-23T21:08:31.509Z,2.19513296682,0.21
